</s><s> | Can you change the location to conference room b?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | am I busy on March 21st next year</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I busy on March 21st next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | am I busy on March 21st next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How old are you?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi, i need to book a train</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi, i want to book a train</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi, i need help finding a doctor</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need help with using my phone</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need help with my taxes.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need help with using my phone.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | create a timer for me tomorrow</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the current exchange rate?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | create a timer for me</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Wednesday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Wednesday will work</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wednesday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, Wednesday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wednesday works</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wednesday please</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Wednesday will do</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Wednesday works</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Wednesday please</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Wed</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I had a meeting with Harry Potter on the 20th of July at 1 pm for 1 hour</s><pad><pad><pad><pad>
</s><s> | Please mark my meeting with Harry Potter on the 20th of July at 1 pm for 1 hour.</s><pad><pad><pad>
</s><s> | My meeting with Harry Potter on the 20th of July lasted for 1 hour at 1 pm.</s><pad><pad><pad><pad>
</s><s> | I had a meeting with Harry Potter on the 20th of July at 1 pm. It lasted an hour.</s><pad>
</s><s> | Please mark my meeting with Harry Potter on the 20th of July at 1 pm for 1 hour</s><pad><pad><pad><pad>
</s><s> | I met with Harry Potter on the 20th of July. It was at 1 pm for an hour.</s><pad><pad>
</s><s> | Please mark my meeting with Harry Potter on the 20th of July at 1 pm as an hour long.</s><pad><pad>
</s><s> | I had a meeting with Harry Potter on the 20th of July at 1 pm. It lasted for an hour.</s>
</s><s> | I met with Harry Potter on the 20th of July at 1 pm for 1 hour</s><pad><pad><pad><pad><pad><pad>
</s><s> | I met with Harry Potter on the 20th of July. It was at 1 pm for 1 hour.</s><pad><pad>
</s><s> | Schedule a one hour lunch with Barack Obama next week on Wednesday at noon.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a one hour lunch with Barack Obama next week at noon.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a one hour lunch with Barack Obama next week Wednesday at noon.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | schedule a one hour lunch with Barack Obama next week Wednesday at noon</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Create a one hour lunch with Barack Obama next week at noon.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a one hour lunch with Barack Obama on Wednesday at noon.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Set up a one hour lunch with Barack Obama next week at noon.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a one hour lunch with Barack Obama next week on Wednesday at noon</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Add a one hour lunch with Barack Obama to my schedule on Wednesday at noon</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Add a one hour lunch with Barack Obama to my calendar on Wednesday at noon</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Add to schedule Jenica's Birthday party at the Holy Grail tomorrow at 7:00 pm for 5 hours.</s><pad>
</s><s> | I want to go to Jenica's Birthday party at the Holy Grail tomorrow at 7 pm for 5 hours.</s><pad>
</s><s> | I want to go to Jenica's Birthday party at the Holy Grail tomorrow at 7 pm for 5 hours</s><pad><pad>
</s><s> | Block off five hours tomorrow at 7:00 pm for Jenica's Birthday party at the Holy Grail.</s><pad><pad>
</s><s> | I'm going to the Holy Grail for Jenica's Birthday party tomorrow at 7 pm for 5 hours.</s><pad><pad>
</s><s> | Block off 5 hours tomorrow at 7:00 pm for Jenica's Birthday party at the Holy Grail.</s><pad><pad>
</s><s> | I'm going to the Holy Grail for Jenica's Birthday party tomorrow at 7 pm for 5 hours</s><pad><pad><pad>
</s><s> | Block off five hours tomorrow at 7 pm for Jenica's Birthday party at the Holy Grail.</s><pad><pad><pad><pad>
</s><s> | I want to go to Jenica's Birthday party at theHoly Grail tomorrow at 7 pm for 5 hours</s><pad><pad>
</s><s> | I want to go to Jenica's Birthday party tomorrow at 7 pm for 5 hours at the Holy Grail</s><pad><pad>
</s><s> | Can you make me a lunch event around 1</s><pad><pad><pad><pad>
</s><s> | Can you make me a lunch around 1 pm</s><pad><pad><pad><pad>
</s><s> | Can you make me a lunch around 1</s><pad><pad><pad><pad><pad>
</s><s> | Make me a lunch around 1 pm</s><pad><pad><pad><pad><pad><pad>
</s><s> | Make me a lunch event around 1 pm</s><pad><pad><pad><pad><pad>
</s><s> | I need to have a lunch around 1 pm</s><pad><pad><pad><pad>
</s><s> | Can you make a lunch event around 1?</s><pad><pad><pad><pad>
</s><s> | Now make me a lunch event around 1 pm</s><pad><pad><pad><pad>
</s><s> | Make me a lunch event around 1</s><pad><pad><pad><pad><pad><pad>
</s><s> | Now make me a lunch around 1 pm</s><pad><pad><pad><pad><pad>
</s><s> | What is the 10 day forecast for Amherst, NY?</s>
</s><s> | What is the 10 day forecast for Amherst, NY</s><pad>
</s><s> | What is the 10 day forecast in Amherst, NY?</s>
</s><s> | How is the 10 day forecast for Amherst, NY?</s>
</s><s> | What is the 10 day forecast for Amherst, NY?</s>
</s><s> | What is the 10 day forecast in Amherst, NY</s><pad>
</s><s> | How is the 10 day forecast in Amherst, NY?</s>
</s><s> | What is 10 day forecast for Amherst, NY?</s><pad>
</s><s> | What's the 10 day forecast for Amherst, NY?</s>
</s><s> | How's the 10 day forecast for Amherst, NY?</s>
</s><s> | Yes it does.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes this looks good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes it does</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes this looks great</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes that looks great</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, thank you</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes it looks great</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes it does</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you move that to tomorrow?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you make it tomorrow instead?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Move that to tomorrow</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Move that to tomorrow please</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need to move that to tomorrow</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change that to tomorrow?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change it to tomorrow?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you make it start tomorrow instead</s><pad><pad><pad><pad><pad><pad>
</s><s> | Move that to tomorrow please.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make it start tomorrow</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
